eng,iso639-3,iso639-1,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,lat,nan,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie
Igbo,ibo,ig,伊博语,Igbo,,igbo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,rus,ru,俄语,Russies,,rus,,,,,,,,,,,ロシア語,러시아어,,,,,,,,,,,,,,,tiếng Nga
Quechua,que,qu,克丘亚语,Quechua,,quechua,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian,hrv,hr,克罗地亚语,Kroaties,,croat,,,,,,,,,,,クロアチア語,크로아티아어,,,,,,,,,,,,,,,tiếng Croatia
Catalan,cat,ca,加泰隆语,Katalaans,,català,,,,,,,,,,,カタルーニャ語,카탈루냐어,,,,,,,,,,,,,,,tiếng Catalunya
Hungarian,hun,hu,匈牙利语,Hongaars,,hongarès,,,,,,,,,,,ハンガリー語,헝가리어,,,,,,,,,,,,,,,người Hungary
Afrikaans,afr,af,南非语,Afrikaans,,afrikaans,,,,,,,,,,,アフリカーンス語,아프리칸스어,,,,,,,,,,,,,,,tiếng Nam Phi
Wu,wuu,,吴语,Wu,,wu,,,,,,,,,,,ウー,,,,,,,,,,,,,,,,
Hindi,hin,hi,印地语,Hindi,,hindi,,,,,,,,,,,ヒンディー語,힌디어,,,,,,,,,,,,,,,tiếng Hin-ddi
Indonesian,ind,id,印尼语,Indonesies,,indonesi,,,,,,,,,,,インドネシア語,인도네시아어,,,,,,,,,,,,,,,tiếng Indonesia
Indian Sign Language,ins,,印度手语,Indiese gebaretaal,,llengua de signes índia,,,,,,,,,,,インド手話,,,,,,,,,,,,,,,,
Serbian,srp,sr,塞尔维亚语,Servies,,serbi,,,,,,,,,,,セルビア語,세르비아어,,,,,,,,,,,,,,,tiếng Serbia
Bengali,ben,bn,孟加拉语,Bengaals,,bengalí,,,,,,,,,,,ベンガル語,,,,,,,,,,,,,,,,
Hakka,hak,,客家话,Hakka,,hakka,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakka Chinese,hak,,客家话,Hakka Chinees,,xinès hakka,,,,,,,,,,,客家中国語,,,,,,,,,,,,,,,,
Greek,ell,el,希腊语,Grieks,,grec,,,,,,,,,,,ギリシャ語,그리스어,,,,,,,,,,,,,,,người Hy Lạp
German,deu,de,德语,Duits,,alemany,,,,,,,,,,,ドイツ語,독일어,,,,,,,,,,,,,,,tiếng Đức
